time_s,mean_thrust_N,std_thrust_N,ci95_lower_N,ci95_upper_N
0.0,782.8816803188533,86.86833693038838,675.0203937685554,890.7429668691512
0.002,1051.2953621471909,641.0380372261776,851.2953621471909,1251.2953621471909
0.004,2207.6850016541857,2352.768405696327,2007.6850016541857,2407.6850016541857
0.006,3248.3675034290945,2869.438561136658,3048.3675034290945,3448.3675034290945
0.008,4008.1465890078302,2312.1329784355466,3808.1465890078302,4208.146589007831
0.01,3648.359764624922,2336.291035080224,3448.359764624922,3848.359764624922
0.012,4022.849805503794,2195.7083743353824,3822.849805503794,4222.849805503794
0.014,3839.2100595235156,1217.239466497626,3639.2100595235156,4039.2100595235156
0.016,3556.63610381306,2507.2971622613577,3356.63610381306,3756.63610381306
0.018000000000000002,2847.41474531686,2693.3014289345115,2647.41474531686,3047.41474531686
0.02,1383.9392841082206,1654.4786476177287,1183.9392841082206,1583.9392841082206
0.022,2501.120788434578,1608.739355231458,2301.120788434578,2701.120788434578
0.024,3558.083291397598,2417.576274988683,3358.083291397598,3758.083291397598
0.026000000000000002,3634.159953067099,994.1918226539834,3434.159953067099,3834.159953067099
0.028,4453.292095826008,617.3224187164199,4253.292095826008,4653.292095826008
0.03,5451.32324457719,994.697755375071,5251.32324457719,5651.32324457719
0.032,4908.597022745609,650.5322639364838,4708.597022745609,5108.597022745609
0.034,3844.385846977166,1235.3149640990018,3644.385846977166,4044.385846977166
0.036000000000000004,3716.008738264185,1372.5409749804764,3516.008738264185,3916.008738264185
0.038,3568.976515038403,1791.2500023479904,3368.976515038403,3768.976515038403
0.04,3597.4754106770642,1917.0973996830703,3397.4754106770642,3797.4754106770642
0.042,3762.517718154014,1377.1711271706233,3562.517718154014,3962.517718154014
0.044,4006.374683086584,726.2712563951872,3806.374683086584,4206.374683086584
0.046,4279.285464172627,955.2205167647087,4079.285464172627,4479.285464172627
0.048,4492.665766291383,1136.5881972084003,4292.665766291383,4692.665766291383
0.05,4709.324937092135,793.4627759216669,4509.324937092135,4909.324937092135
0.052000000000000005,4578.028129490045,815.904469300551,4378.028129490045,4778.028129490045
0.054,4437.81221925703,836.5644298707687,4237.81221925703,4637.81221925703
0.056,4299.382944244538,920.7000920701232,4099.382944244538,4499.382944244538
0.058,4151.030027164112,977.343852166408,3951.0300271641117,4351.030027164112
0.06,4139.461146008284,1067.4167665022576,3939.4611460082842,4339.461146008284
0.062,4093.0861573982456,872.4739760858777,3893.0861573982456,4293.086157398246
0.064,4280.128377451903,698.092882704721,4080.1283774519034,4480.128377451903
0.066,4496.235957980116,577.0543201286275,4296.235957980116,4696.235957980116
0.068,4691.828462905743,617.7406467943241,4491.828462905743,4891.828462905743
0.07,4743.407904015555,831.1807839006699,4543.407904015555,4943.407904015555
0.07200000000000001,4615.066411670566,719.2059870697037,4415.066411670566,4815.066411670566
0.074,4464.855162001317,487.1236020259317,4264.855162001317,4664.855162001317
0.076,4286.5965752483,540.8125907055168,4086.5965752483,4486.5965752483
0.078,4155.584462096784,767.2181864366288,3955.5844620967837,4355.584462096784
0.08,4134.324169889155,713.948491453616,3934.324169889155,4334.324169889155
0.082,4289.854903517782,355.76906484719444,4089.854903517782,4489.854903517782
0.084,4461.191735290308,222.71737087870733,4261.191735290308,4661.191735290308
0.08600000000000001,4620.2265586016465,577.9199274461322,4420.2265586016465,4820.2265586016465
0.088,4731.659033811418,733.8733375209653,4531.659033811418,4931.659033811418
0.09,4653.778517467414,550.1010628079965,4453.778517467414,4853.778517467414
0.092,4535.650001039321,327.6806825080187,4335.650001039321,4735.650001039321
0.094,4350.768901510418,473.8322654099547,4150.768901510418,4550.768901510418
0.096,4277.759190320898,580.4253781549913,4077.7591903208977,4477.759190320898
0.098,4277.395818434325,509.06643067482406,4077.3958184343246,4477.395818434325
0.1,4276.793108426802,285.58443275791734,4076.793108426802,4476.793108426802
0.10200000000000001,4392.349327581281,343.2738884968625,4192.349327581281,4592.349327581281
0.10400000000000001,4519.998342822251,518.3843563990507,4319.998342822251,4719.998342822251
0.106,4655.1404736218265,564.7750065715165,4455.1404736218265,4855.1404736218265
0.108,4709.23239510248,464.63235381690265,4509.23239510248,4909.23239510248
0.11,4596.838783803307,386.0436188493584,4396.838783803307,4796.838783803307
0.112,4443.998496671633,426.9525613917355,4243.998496671633,4643.998496671633
0.114,4339.694783789028,358.925079727634,4139.694783789028,4539.694783789028
0.116,4340.711875958668,318.1771768477903,4140.711875958668,4540.711875958668
0.11800000000000001,4369.84819338124,429.0454347032744,4169.84819338124,4569.84819338124
0.12,4407.75274714709,448.71956534122864,4207.75274714709,4607.75274714709
0.122,4475.971554372402,439.26266865159283,4275.971554372402,4675.971554372402
0.124,4586.418876098574,442.09483723971533,4386.418876098574,4786.418876098574
0.126,4636.354227051495,397.67862352095307,4436.354227051495,4836.354227051495
0.128,4587.462202768865,364.2849716630827,4387.462202768865,4787.462202768865
0.13,4490.877726229477,326.2243539882468,4290.877726229477,4690.877726229477
0.132,4381.631396493607,231.04501740229614,4181.631396493607,4581.631396493607
0.134,4356.615841249233,288.0443607378239,4156.615841249233,4556.615841249233
0.136,4382.7501757688715,464.85174351146213,4182.7501757688715,4582.7501757688715
0.138,4419.895088751417,468.7938367164189,4219.895088751417,4619.895088751417
0.14,4478.697242713236,428.21034886912736,4278.697242713236,4678.697242713236
0.14200000000000002,4538.283352291038,444.3401730278694,4338.283352291038,4738.283352291038
0.14400000000000002,4572.8733103081595,418.604044612766,4372.8733103081595,4772.8733103081595
