Time (s),Center of Mass Position (m)
0.000000,2.893741
0.113131,2.894227
0.226263,2.894693
0.339394,2.895142
0.452525,2.895571
0.565657,2.895982
0.678788,2.896374
0.791919,2.896746
0.905051,2.897099
1.018182,2.897433
1.131313,2.897746
1.244444,2.898040
1.357576,2.898314
1.470707,2.898568
1.583838,2.898802
1.696970,2.899015
1.810101,2.899207
1.923232,2.899379
2.036364,2.899530
2.149495,2.899659
2.262626,2.899767
2.375758,2.899854
2.488889,2.899918
2.602020,2.899961
2.715152,2.899982
2.828283,2.899981
2.941414,2.899957
3.054545,2.899911
3.167677,2.899842
3.280808,2.899750
3.393939,2.899634
3.507071,2.899495
3.620202,2.899333
3.733333,2.899147
3.846465,2.898937
3.959596,2.898702
4.072727,2.898444
4.185859,2.898160
4.298990,2.897852
4.412121,2.897519
4.525253,2.897160
4.638384,2.896776
4.751515,2.896366
4.864646,2.895930
4.977778,2.895468
5.090909,2.894980
5.204040,2.894465
5.317172,2.893923
5.430303,2.893354
5.543434,2.892757
5.656566,2.892133
5.769697,2.891482
5.882828,2.890802
5.995960,2.890093
6.109091,2.889356
6.222222,2.888590
6.335354,2.887795
6.448485,2.886971
6.561616,2.886116
6.674747,2.885232
6.787879,2.884318
6.901010,2.883373
7.014141,2.882397
7.127273,2.881390
7.240404,2.880352
7.353535,2.879282
7.466667,2.878180
7.579798,2.877046
7.692929,2.875879
7.806061,2.874679
7.919192,2.873446
8.032323,2.872179
8.145455,2.870879
8.258586,2.869544
8.371717,2.868175
8.484848,2.866771
8.597980,2.865332
8.711111,2.863857
8.824242,2.862346
8.937374,2.860799
9.050505,2.859216
9.163636,2.857595
9.276768,2.855937
9.389899,2.854242
9.503030,2.852508
9.616162,2.850736
9.729293,2.848925
9.842424,2.847074
9.955556,2.845184
10.068687,2.843254
10.181818,2.841283
10.294949,2.839272
10.408081,2.837219
10.521212,2.835125
10.634343,2.832988
10.747475,2.830809
10.860606,2.828586
10.973737,2.826320
11.086869,2.824011
11.200000,2.821656
