Time (s),Center of Mass Position (m)
1.0000,2.8937
1.1131,2.8942
1.2263,2.8947
1.3394,2.8951
1.4525,2.8956
1.5657,2.8960
1.6788,2.8964
1.7919,2.8967
1.9051,2.8971
2.0182,2.8974
2.1313,2.8977
2.2444,2.8980
2.3576,2.8983
2.4707,2.8986
2.5838,2.8988
2.6970,2.8990
2.8101,2.8992
2.9232,2.8994
3.0364,2.8995
3.1495,2.8997
3.2626,2.8998
3.3758,2.8999
3.4889,2.8999
3.6020,2.9000
3.7152,2.9000
3.8283,2.9000
3.9414,2.9000
4.0545,2.8999
4.1677,2.8999
4.2808,2.8998
4.3939,2.8996
4.5071,2.8995
4.6202,2.8994
4.7333,2.8992
4.8465,2.8990
4.9596,2.8987
5.0727,2.8985
5.1859,2.8982
5.2990,2.8979
5.4121,2.8975
5.5253,2.8972
5.6384,2.8968
5.7515,2.8964
5.8646,2.8960
5.9778,2.8955
6.0909,2.8950
6.2040,2.8945
6.3172,2.8940
6.4303,2.8934
6.5434,2.8928
6.6566,2.8922
6.7697,2.8915
6.8828,2.8909
6.9960,2.8902
7.1091,2.8894
7.2222,2.8887
7.3354,2.8879
7.4485,2.8871
7.5616,2.8862
7.6747,2.8853
7.7879,2.8844
7.9010,2.8835
8.0141,2.8825
8.1273,2.8815
8.2404,2.8805
8.3535,2.8794
8.4667,2.8783
8.5798,2.8772
8.6929,2.8760
8.8061,2.8748
8.9192,2.8736
9.0323,2.8723
9.1455,2.8710
9.2586,2.8697
9.3717,2.8683
9.4848,2.8669
9.5980,2.8655
9.7111,2.8640
9.8242,2.8625
9.9374,2.8610
10.0505,2.8594
10.1636,2.8578
10.2768,2.8561
10.3899,2.8545
10.5030,2.8527
10.6162,2.8510
10.7293,2.8492
10.8424,2.8473
10.9556,2.8454
11.0687,2.8435
11.1818,2.8415
11.2949,2.8395
11.4081,2.8375
11.5212,2.8354
11.6343,2.8333
11.7475,2.8311
11.8606,2.8289
11.9737,2.8266
12.0869,2.8243
12.2000,2.8220
