x,Scalar
0.0000,3.4679
0.0101,3.4679
0.0202,3.4679
0.0303,3.4680
0.0404,3.4681
0.0505,3.4683
0.0606,3.4684
0.0707,3.4687
0.0808,3.4689
0.0909,3.4692
0.1010,3.4695
0.1111,3.4698
0.1212,3.4702
0.1313,3.4706
0.1414,3.4711
0.1515,3.4716
0.1616,3.4721
0.1717,3.4726
0.1818,3.4732
0.1919,3.4738
0.2020,3.4744
0.2121,3.4751
0.2222,3.4758
0.2323,3.4766
0.2424,3.4774
0.2525,3.4782
0.2626,3.4791
0.2727,3.4799
0.2828,3.4809
0.2929,3.4818
0.3030,3.4828
0.3131,3.4839
0.3232,3.4849
0.3333,3.4860
0.3434,3.4872
0.3535,3.4884
0.3636,3.4896
0.3737,3.4908
0.3838,3.4921
0.3939,3.4935
0.4040,3.4948
0.4141,3.4963
0.4242,3.4977
0.4343,3.4992
0.4444,3.5007
0.4545,3.5023
0.4646,3.5039
0.4747,3.5056
0.4848,3.5073
0.4949,3.5090
0.5051,3.5108
0.5152,3.5126
0.5253,3.5145
0.5354,3.5164
0.5455,3.5184
0.5556,3.5204
0.5657,3.5225
0.5758,3.5246
0.5859,3.5267
0.5960,3.5289
0.6061,3.5312
0.6162,3.5335
0.6263,3.5359
0.6364,3.5383
0.6465,3.5407
0.6566,3.5433
0.6667,3.5458
0.6768,3.5485
0.6869,3.5511
0.6970,3.5539
0.7071,3.5567
0.7172,3.5596
0.7273,3.5625
0.7374,3.5655
0.7475,3.5686
0.7576,3.5717
0.7677,3.5749
0.7778,3.5782
0.7879,3.5815
0.7980,3.5849
0.8081,3.5856
0.8182,3.5856
0.8283,3.5856
0.8384,3.5856
0.8485,3.5856
0.8586,3.5856
0.8687,3.5856
0.8788,3.5856
0.8889,3.5856
0.8990,3.5856
0.9091,3.5856
0.9192,3.5856
0.9293,3.5856
0.9394,3.5856
0.9495,3.5856
0.9596,3.5856
0.9697,3.5856
0.9798,3.5856
0.9899,3.5856
1.0000,3.5856
