time,thrust,thrust_0.9,thrust_0.92,thrust_0.95,thrust_0.97,thrust_1.0,thrust_1.02,thrust_1.05,thrust_1.07,thrust_1.1
0.921,49.198,44.2782,45.26216,46.738099999999996,47.72206,49.198,50.181960000000004,51.657900000000005,52.64186,54.1178
1.089,4575.401,4117.8609,4209.36892,4346.63095,4438.13897,4575.401,4666.90902,4804.17105,4895.67907,5032.9411
1.361,3997.326,3597.5934,3677.53992,3797.4597,3877.40622,3997.326,4077.27252,4197.192300000001,4277.13882,4397.0586
1.968,3788.235,3409.4115,3485.1762000000003,3598.82325,3674.58795,3788.235,3863.9997000000003,3977.6467500000003,4053.4114500000005,4167.0585
2.303,3628.342,3265.5078000000003,3338.0746400000003,3446.9249,3519.49174,3628.342,3700.90884,3809.7591,3882.32594,3991.1762000000003
2.575,3431.551,3088.3959,3157.0269200000002,3259.97345,3328.6044699999998,3431.551,3500.18202,3603.12855,3671.75957,3774.7061000000003
2.973,3234.759,2911.2831,2975.9782800000003,3073.02105,3137.71623,3234.759,3299.45418,3396.49695,3461.1921300000004,3558.2349000000004
3.748,3124.064,2811.6576,2874.13888,2967.8608,3030.34208,3124.064,3186.54528,3280.2672,3342.74848,3436.4704
4.083,3124.064,2811.6576,2874.13888,2967.8608,3030.34208,3124.064,3186.54528,3280.2672,3342.74848,3436.4704
4.732,3050.267,2745.2403,2806.24564,2897.7536499999997,2958.75899,3050.267,3111.27234,3202.78035,3263.78569,3355.2937
5.695,2964.171,2667.7538999999997,2727.03732,2815.9624499999995,2875.2458699999997,2964.171,3023.45442,3112.37955,3171.66297,3260.5881
6.595,2878.075,2590.2675,2647.8289999999997,2734.17125,2791.7327499999997,2878.075,2935.6365,3021.9787499999998,3079.54025,3165.8825
7.579,2816.578,2534.9202,2591.25176,2675.7491,2732.08066,2816.578,2872.90956,2957.4069,3013.73846,3098.2358000000004
8.5,2742.781,2468.5029,2523.35852,2605.6419499999997,2660.49757,2742.781,2797.63662,2879.92005,2934.77567,3017.0591000000004
9.463,2656.684,2391.0156,2444.14928,2523.8498,2576.9834800000003,2656.684,2709.81768,2789.5182000000004,2842.6518800000003,2922.3524000000007
10.363,2607.487,2346.7383,2398.8880400000003,2477.11265,2529.26239,2607.487,2659.63674,2737.86135,2790.0110900000004,2868.2357
10.95,2496.791,2247.1119000000003,2297.04772,2371.95145,2421.88727,2496.791,2546.7268200000003,2621.6305500000003,2671.5663700000005,2746.4701000000005
11.284,1918.717,1726.8453000000002,1765.2196400000003,1822.78115,1861.15549,1918.717,1957.0913400000002,2014.6528500000002,2053.0271900000002,2110.5887000000002
11.431,1168.449,1051.6041,1074.9730800000002,1110.02655,1133.39553,1168.449,1191.81798,1226.87145,1250.24043,1285.2939000000001
11.745,418.182,376.3638,384.72744000000006,397.2729,405.63654,418.182,426.54564000000005,439.09110000000004,447.45474,460.00020000000006
12.352,258.289,232.46009999999998,237.62588,245.37454999999997,250.54032999999998,258.289,263.45477999999997,271.20345,276.36923,284.1179
14.111,245.989,221.39010000000002,226.30988000000002,233.68955,238.60933,245.989,250.90878,258.28845,263.20823,270.58790000000005
15.786,221.39,199.251,203.6788,210.32049999999998,214.74829999999997,221.39,225.81779999999998,232.4595,236.8873,243.529
16.121,61.497,55.347300000000004,56.57724,58.422149999999995,59.65209,61.497,62.72694,64.57185,65.80179,67.64670000000001
16.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
