time_s,mean_thrust_N,fitted_thrust_N,std_thrust_N,ci95_lower_N,ci95_upper_N
0.0,808.3439702464799,4439.752043664941,14.03921020762444,682.2066710588424,934.4812694341174
0.002,1207.5655873249393,4439.885110632164,134.74778518053765,1007.5655873249393,1407.5655873249393
0.004,1579.8860258208956,4440.018059367254,253.21044549115197,1379.8860258208956,1779.8860258208956
0.006,1926.171955453784,4440.150889916198,358.01006499522634,1726.171955453784,2126.171955453784
0.008,2247.2900459430393,4440.283602324983,439.5415085459174,2047.2900459430393,2447.2900459430393
0.01,2544.1069670080965,4440.416196639594,491.82240227066427,2344.1069670080965,2744.1069670080965
0.012,2817.4893883683917,4440.548672906018,514.3454171485986,2617.4893883683917,3017.4893883683917
0.014,3068.3039797433585,4440.681031170238,510.81043601752765,2868.3039797433585,3268.3039797433585
0.016,3297.4174108524326,4440.813271478243,491.53415814096655,3097.4174108524326,3497.4174108524326
0.018000000000000002,3505.6963514150493,4440.945393876019,467.6697050776316,3305.6963514150493,3705.6963514150493
0.02,3694.007471150643,4441.0773984095495,448.8808540250745,3494.007471150643,3894.007471150643
0.022,3863.21743977865,4441.209285124823,443.6358068038922,3663.21743977865,4063.21743977865
0.024,4014.1929270185033,4441.341054067823,455.88196769978987,3814.1929270185033,4214.192927018503
0.026000000000000002,4147.80060258964,4441.472705284537,485.8200376331287,3947.80060258964,4347.80060258964
0.028,4264.907136211494,4441.604238820952,531.2192423722504,4064.9071362114937,4464.907136211494
0.03,4366.3791976035,4441.735654723051,586.8108356673837,4166.3791976035,4566.3791976035
0.032,4453.083456485095,4441.866953036822,644.9546916735508,4253.083456485095,4653.083456485095
0.034,4525.886582575711,4441.998133808252,697.7554181217974,4325.886582575711,4725.886582575711
0.036000000000000004,4585.655245594786,4442.129197083324,737.1529127616601,4385.655245594786,4785.655245594786
0.038,4633.256115261754,4442.260142908026,755.8974374642589,4433.256115261754,4833.256115261754
0.04,4669.555861296048,4442.390971328343,750.3066397789072,4469.555861296048,4869.555861296048
0.042,4695.421153417106,4442.521682390262,720.0617295462753,4495.421153417106,4895.421153417106
0.044,4711.718661344362,4442.652276139767,665.7407394974883,4511.718661344362,4911.718661344362
0.046,4719.315054797251,4442.782752622847,595.9769065254629,4519.315054797251,4919.315054797251
0.048,4719.077003495208,4442.913111885485,517.8006601032466,4519.077003495208,4919.077003495208
0.05,4711.871177157584,4443.043353973669,440.2719252562748,4511.871177157584,4911.871177157584
0.052000000000000005,4707.715552527893,4443.173478933383,371.4855492973579,4507.715552527893,4907.715552527893
0.054,4695.745667600817,4443.303486810615,317.3204793215036,4495.745667600817,4895.745667600817
0.056,4678.353068093454,4443.43337765135,280.8313165970798,4478.353068093454,4878.353068093454
0.058,4657.832869155239,4443.563151501574,261.2482963812595,4457.832869155239,4857.832869155239
0.06,4636.189557264217,4443.692808407272,255.987289467404,4436.189557264217,4836.189557264217
0.062,4615.004911527522,4443.822348414433,261.30237493717385,4415.004911527522,4815.004911527522
0.064,4595.391154640144,4443.951771569039,273.0659782453773,4395.391154640144,4795.391154640144
0.066,4577.988913004105,4444.081077917079,288.07212549898713,4377.988913004105,4777.988913004105
0.068,4563.100639020978,4444.210267504536,303.8849509024844,4363.100639020978,4763.100639020978
0.07,4550.778115602833,4444.339340377399,318.80477797360743,4350.778115602833,4750.778115602833
0.07200000000000001,4540.902523347665,4444.468296581653,331.4959442338612,4340.902523347665,4740.902523347665
0.074,4533.285255960093,4444.597136163283,340.778645751456,4333.285255960093,4733.285255960093
0.076,4527.689279647876,4444.725859168275,345.90873141380257,4327.689279647876,4727.689279647876
0.078,4523.8417265252,4444.854465642617,346.5617998018163,4323.8417265252,4723.8417265252
0.08,4521.452826069805,4444.982955632292,343.03979599098915,4321.452826069805,4721.452826069805
0.082,4520.206301595469,4445.111329183288,336.433011646487,4320.206301595469,4720.206301595469
0.084,4519.74921343033,4445.23958634159,328.06017495734073,4319.74921343033,4719.74921343033
0.08600000000000001,4519.712212347477,4445.367727153184,319.26371654679457,4319.712212347477,4719.712212347477
0.088,4519.712212347477,4445.495751664058,311.0828445965889,4319.712212347477,4719.712212347477
0.09,4519.712212347477,4445.623659920195,304.1101723094245,4319.712212347477,4719.712212347477
0.092,4519.712212347477,4445.7514519675815,298.6033261515773,4319.712212347477,4719.712212347477
0.094,4519.712212347477,4445.879127852205,294.5730623003355,4319.712212347477,4719.712212347477
0.096,4519.712212347477,4446.006687620051,292.0289746284897,4319.712212347477,4719.712212347477
0.098,4519.712212347477,4446.134131317104,290.98904007220557,4319.712212347477,4719.712212347477
0.1,4519.712212347477,4446.261458989352,291.327815385718,4319.712212347477,4719.712212347477
0.10200000000000001,4519.712212347477,4446.388670682779,292.7534220749686,4319.712212347477,4719.712212347477
0.10400000000000001,4519.712212347477,4446.515766443373,294.7677322724615,4319.712212347477,4719.712212347477
0.106,4519.712212347477,4446.642746317118,296.72451872702595,4319.712212347477,4719.712212347477
0.108,4519.712212347477,4446.76961035,298.153528105452,4319.712212347477,4719.712212347477
0.11,4519.712212347477,4446.896358588007,298.88077134081317,4319.712212347477,4719.712212347477
0.112,4519.712212347477,4447.022991077123,299.1581981373255,4319.712212347477,4719.712212347477
0.114,4519.712212347477,4447.149507863335,299.5097363540511,4319.712212347477,4719.712212347477
0.116,4519.712212347477,4447.275908992629,300.5142700842477,4319.712212347477,4719.712212347477
0.11800000000000001,4519.712212347477,4447.40219451099,302.5883898394838,4319.712212347477,4719.712212347477
0.12,4519.712212347477,4447.528364464405,305.7478850893765,4319.712212347477,4719.712212347477
0.122,4519.712212347477,4447.654418898859,309.63699944606907,4319.712212347477,4719.712212347477
0.124,4519.712212347477,4447.780357860339,313.7001615785175,4319.712212347477,4719.712212347477
0.126,4519.712212347477,4447.906181394829,317.4030354935943,4319.712212347477,4719.712212347477
0.128,4519.712212347477,4448.031889548318,320.37564111357926,4319.712212347477,4719.712212347477
0.13,4519.712212347477,4448.157482366789,322.4582475690417,4319.712212347477,4719.712212347477
0.132,4519.712212347477,4448.28295989623,323.5214413980986,4319.712212347477,4719.712212347477
0.134,4519.712212347477,4448.408322182625,323.37431774369304,4319.712212347477,4719.712212347477
0.136,4519.712212347477,4448.533569271963,321.71760464722985,4319.712212347477,4719.712212347477
0.138,4519.712212347477,4448.658701210226,318.26908326878606,4319.712212347477,4719.712212347477
0.14,4519.712212347477,4448.7837180434035,312.97980699118983,4319.712212347477,4719.712212347477
0.14200000000000002,4519.712212347477,4448.908619817479,306.2413269978826,4319.712212347477,4719.712212347477
0.14400000000000002,4519.712212347477,4449.03340657844,298.9870948120513,4319.712212347477,4719.712212347477
0.146,4519.712212347477,4449.158078372272,292.55850300813063,4319.712212347477,4719.712212347477
0.148,4519.712212347477,4449.282635244961,288.3467843026181,4319.712212347477,4719.712212347477
0.15,4519.712212347477,4449.407077242492,287.3799820962256,4319.712212347477,4719.712212347477
0.152,4519.712212347477,4449.531404410852,290.013205813022,4319.712212347477,4719.712212347477
0.154,4519.712212347477,4449.655616796027,295.74945907752385,4319.712212347477,4719.712212347477
0.156,4519.712212347477,4449.779714444003,303.50772562447355,4319.712212347477,4719.712212347477
0.158,4519.712212347477,4449.903697400765,311.9103126642851,4319.712212347477,4719.712212347477
0.16,4519.712212347477,4450.027565712299,319.67210334299716,4319.712212347477,4719.712212347477
0.162,4519.712212347477,4450.151319424593,325.86838936932423,4319.712212347477,4719.712212347477
0.164,4519.712212347477,4450.27495858363,329.9870122231793,4319.712212347477,4719.712212347477
0.166,4519.712212347477,4450.398483235398,331.91017424385956,4319.712212347477,4719.712212347477
