Time (s),Mach Number
0.000000,0.002461
0.600000,0.002461
0.750000,0.002461
0.900000,0.002461
0.903119,0.002461
0.906239,0.002461
0.912477,0.002461
0.918716,0.002461
0.924955,0.002461
0.927596,0.002461
0.930237,0.002461
0.935520,0.002461
0.940803,0.002461
0.946085,0.002461
0.948215,0.002461
0.950345,0.002461
0.954008,0.002460
0.957671,0.002459
0.961334,0.002457
0.997966,0.002650
1.034598,0.004169
1.071229,0.007456
1.077577,0.008186
1.083925,0.008959
1.090273,0.009772
1.096242,0.010553
1.102211,0.011335
1.108179,0.012117
1.120116,0.013679
1.132053,0.015238
1.143990,0.016790
1.155928,0.018335
1.275299,0.033297
1.350483,0.042213
1.356597,0.042920
1.362710,0.043625
1.368823,0.044328
1.381050,0.045735
1.393277,0.047139
1.405503,0.048543
1.527770,0.062506
1.650036,0.076333
1.772303,0.090018
1.803837,0.093524
1.812299,0.094463
1.820760,0.095401
1.837684,0.097275
1.854607,0.099147
1.871530,0.101016
1.945733,0.109179
2.019935,0.117278
2.094138,0.125301
2.168340,0.133243
2.229499,0.139726
2.290657,0.146153
2.351815,0.152511
2.412973,0.158781
2.474132,0.164960
2.535290,0.171047
2.628763,0.180191
2.722237,0.189177
2.815711,0.198023
2.909184,0.206725
3.002658,0.215298
3.096131,0.223797
3.173376,0.230803
3.250621,0.237788
3.327866,0.244752
3.405111,0.251694
3.525179,0.262440
3.645247,0.273128
3.765314,0.283764
3.813733,0.288046
3.862152,0.292332
3.910571,0.296621
3.958990,0.300915
4.045615,0.308605
4.132241,0.316299
4.218866,0.323977
4.305492,0.331631
4.392117,0.339263
4.453670,0.344672
4.515222,0.350069
4.576775,0.355454
4.638327,0.360827
4.692020,0.365504
4.745714,0.370171
4.799407,0.374831
4.853101,0.379485
4.932483,0.386352
5.011866,0.393204
5.091249,0.400040
5.170631,0.406861
5.250014,0.413665
5.344371,0.421733
5.438729,0.429777
5.533086,0.437797
5.627443,0.445793
5.721801,0.453765
5.763142,0.457249
5.804484,0.460728
5.845825,0.464202
5.887167,0.467670
5.959061,0.473689
6.030956,0.479691
6.102850,0.485676
6.174744,0.491645
6.246639,0.497596
6.284079,0.500689
6.321518,0.503777
6.358958,0.506860
6.396398,0.509938
6.469283,0.515917
6.542169,0.521878
6.615054,0.527821
6.687940,0.533750
6.756045,0.539279
6.824149,0.544798
6.892254,0.550308
6.960359,0.555811
6.997653,0.558847
7.034947,0.561880
7.072241,0.564911
7.084972,0.565944
7.097703,0.566978
7.110434,0.568010
7.147752,0.571036
7.185070,0.574059
7.222388,0.577080
7.264256,0.580464
7.306123,0.583846
7.347990,0.587223
7.404525,0.591777
7.461060,0.596324
7.517595,0.600864
7.574130,0.605397
7.627218,0.609645
7.680307,0.613885
7.733396,0.618116
7.783477,0.622100
7.833559,0.626076
7.883641,0.630043
7.956405,0.635793
8.029170,0.641526
8.101934,0.647241
8.174699,0.652938
8.209091,0.655625
8.243483,0.658307
8.277875,0.660986
8.343292,0.666070
8.408709,0.671138
8.474127,0.676192
8.509101,0.678888
8.544075,0.681578
8.579049,0.684263
8.658689,0.690360
8.738330,0.696433
8.817971,0.702478
8.897611,0.708496
8.929009,0.710862
8.960406,0.713224
8.991804,0.715582
9.026494,0.718181
9.061183,0.720776
9.095872,0.723365
9.124103,0.725468
9.152333,0.727567
9.180563,0.729663
9.219112,0.732520
9.257660,0.735369
9.296208,0.738193
9.326229,0.740383
9.356250,0.742569
9.386271,0.744751
9.439723,0.748624
9.476933,0.751313
9.514144,0.753997
9.551354,0.756676
9.588564,0.759351
9.625775,0.762021
9.662985,0.764687
9.700195,0.767348
9.752559,0.771086
9.792052,0.773898
9.831544,0.776705
9.871036,0.779505
9.910528,0.782300
9.957731,0.785633
10.004933,0.788959
10.052136,0.792276
10.099338,0.795585
10.146541,0.798886
10.200814,0.802670
10.255087,0.806444
10.309361,0.810205
10.363634,0.813954
10.417907,0.817683
10.472181,0.821383
10.526454,0.825052
10.580727,0.828689
10.635000,0.832295
10.689274,0.835869
10.743547,0.839412
10.797820,0.842925
10.852094,0.846406
10.906367,0.849855
10.947038,0.852419
10.954467,0.852884
10.961896,0.853345
10.969325,0.853802
10.984183,0.854703
10.999041,0.855585
11.013899,0.856450
11.057439,0.858879
11.100980,0.861154
11.144520,0.863274
11.207814,0.866081
11.271107,0.868525
11.277495,0.868751
11.283883,0.868973
11.290271,0.869189
11.298204,0.869445
11.306137,0.869686
11.314071,0.869911
11.335480,0.870444
11.356889,0.870866
11.378298,0.871177
11.416382,0.871455
11.433571,0.871467
11.444828,0.871448
11.456085,0.871413
11.467342,0.871363
11.487670,0.871237
11.507997,0.871064
11.528324,0.870845
11.565524,0.870322
11.602724,0.869644
11.639924,0.868811
11.677124,0.867822
11.725424,0.866306
11.756981,0.865190
11.788538,0.864027
11.810938,0.863197
11.833338,0.862365
11.855739,0.861529
11.878139,0.860687
11.900540,0.859839
11.939418,0.858355
11.978297,0.856857
12.017176,0.855345
12.056055,0.853820
12.094933,0.852281
12.145068,0.850277
12.195204,0.848252
12.245339,0.846205
12.295474,0.844138
12.345609,0.842050
12.401800,0.839702
12.457992,0.837361
12.514183,0.835036
12.570375,0.832726
12.626566,0.830429
12.682758,0.828145
12.738949,0.825873
12.795141,0.823612
12.854596,0.821234
12.914050,0.818869
12.973505,0.816516
13.032959,0.814174
13.092414,0.811846
13.151869,0.809529
13.211323,0.807225
13.270778,0.804927
13.330232,0.802636
13.389687,0.800357
13.460278,0.797665
13.530868,0.794989
13.601458,0.792327
13.672049,0.789680
13.742639,0.787049
13.813230,0.784431
13.883820,0.781828
13.954411,0.779238
14.025001,0.776661
14.095592,0.774099
14.179550,0.771069
14.263508,0.768054
14.347466,0.765055
14.364258,0.764457
14.381050,0.763859
14.384084,0.763752
14.387118,0.763644
14.393186,0.763428
14.399254,0.763212
14.399376,0.763208
14.399497,0.763204
14.399618,0.763199
14.399740,0.763195
14.399861,0.763191
14.400104,0.763180
14.400686,0.763153
14.401268,0.763125
14.401849,0.763097
14.407668,0.762821
14.413487,0.762546
14.419305,0.762270
14.477492,0.759519
14.535678,0.756781
14.593864,0.754053
14.608213,0.753382
14.622562,0.752712
14.636912,0.752043
14.650400,0.751414
14.663888,0.750786
14.677377,0.750158
14.757261,0.746454
14.837145,0.742770
14.917029,0.739107
14.987309,0.735901
15.057589,0.732710
15.127869,0.729535
15.145131,0.728757
15.162393,0.727980
15.179656,0.727204
15.302528,0.721706
15.333246,0.720339
15.363964,0.718974
15.394682,0.717611
15.421423,0.716428
15.448163,0.715246
15.474904,0.714067
15.506491,0.712676
15.538078,0.711288
15.569665,0.709903
15.603799,0.708408
15.637932,0.706935
15.646466,0.706572
15.663533,0.705845
15.680599,0.705120
15.697666,0.704395
15.736373,0.702754
15.775080,0.701117
15.813787,0.699483
15.852494,0.697853
15.864616,0.697343
15.876737,0.696834
15.888859,0.696325
15.900981,0.695817
15.913103,0.695308
15.937346,0.694293
15.961589,0.693279
15.985833,0.692267
16.010076,0.691256
16.059593,0.689195
16.109109,0.687140
16.158625,0.685089
16.208142,0.683044
16.257658,0.681005
16.307174,0.678971
16.356691,0.676943
16.420786,0.674326
16.484881,0.671718
16.534096,0.669722
16.583311,0.667731
16.632525,0.665744
16.681740,0.663762
16.730955,0.661785
16.813946,0.658463
16.896936,0.655156
16.960232,0.652642
17.023528,0.650136
17.086825,0.647638
17.150121,0.645147
17.213417,0.642664
17.307976,0.638968
17.377438,0.636264
17.446901,0.633569
17.516363,0.630883
17.585826,0.628205
17.655289,0.625536
17.767448,0.621244
17.847315,0.618201
17.927183,0.615168
18.007051,0.612146
18.086919,0.609134
18.166787,0.606132
18.260418,0.602627
18.354049,0.599135
18.447680,0.595658
18.541311,0.592193
18.634942,0.588743
18.712107,0.585925
18.772593,0.583730
18.833080,0.581539
18.893566,0.579353
18.903984,0.578977
18.914403,0.578601
18.924821,0.578225
18.935239,0.577850
18.956076,0.577099
18.976913,0.576348
18.997749,0.575599
19.043593,0.573952
19.079747,0.572654
19.115901,0.571359
19.152055,0.570065
19.199102,0.568383
19.246149,0.566705
19.293196,0.565030
19.340243,0.563357
19.418235,0.560591
19.496227,0.557832
19.574219,0.555080
19.652212,0.552336
19.730204,0.549599
19.808196,0.546869
19.886188,0.544147
19.964180,0.541431
20.042173,0.538722
20.120165,0.536021
20.198157,0.533326
20.298327,0.529875
20.377239,0.527164
20.456152,0.524459
20.535064,0.521762
20.613977,0.519072
20.692889,0.516388
20.797841,0.512828
20.902792,0.509281
20.989060,0.506373
21.075329,0.503473
21.161597,0.500581
21.247865,0.497696
21.334134,0.494819
21.461616,0.490581
21.561798,0.487261
21.661980,0.483952
21.762161,0.480652
21.862343,0.477361
21.962524,0.474079
22.075722,0.470383
22.188919,0.466699
22.302116,0.463026
22.415314,0.459365
22.528511,0.455716
22.641708,0.452079
22.754906,0.448452
22.868103,0.444818
22.886026,0.444237
22.903950,0.443656
22.921873,0.443075
22.939797,0.442495
22.975643,0.441334
23.011490,0.440175
23.047337,0.439017
23.083184,0.437860
23.164914,0.435226
23.246645,0.432597
23.328375,0.429972
23.410106,0.427353
23.491836,0.424740
23.603576,0.421175
23.715317,0.417619
23.827058,0.414073
23.938798,0.410537
24.050539,0.407009
24.162279,0.403492
24.313843,0.398735
24.419345,0.395434
24.524847,0.392141
24.630348,0.388857
