# Time (s), Z (m)
0.000000,0.000000
0.600000,0.000000
0.750000,0.000000
0.900000,-0.000000
0.903090,0.000000
0.906181,0.000000
0.912361,0.000000
0.918542,0.000000
0.924722,0.000000
0.927358,0.000000
0.929993,0.000000
0.935264,-0.000000
0.940535,-0.000000
0.945805,0.000000
0.947924,0.000000
0.950043,0.000002
0.953741,0.000012
0.957440,0.000043
0.961138,0.000113
0.998118,0.006500
1.035099,0.035077
1.072080,0.102454
1.077175,0.115716
1.082270,0.130076
1.087365,0.145577
1.089403,0.152106
1.091441,0.158827
1.093479,0.165739
1.097555,0.180137
1.101631,0.195300
1.105708,0.211227
1.146469,0.412125
1.187230,0.687600
1.227991,1.036078
1.268753,1.455970
1.354447,2.564483
1.366734,2.747845
1.379020,2.937224
1.391307,3.132612
1.415881,3.541397
1.440455,3.974175
1.465028,4.430920
1.604761,7.482404
1.610730,7.630622
1.616699,7.780240
1.628638,8.082276
1.640576,8.389909
1.652515,8.703137
1.770388,12.095336
1.888262,16.029350
2.006135,20.501744
2.124008,25.508148
2.274311,32.657227
2.303676,34.153039
2.333042,35.680995
2.362408,37.240928
2.391773,38.832646
2.450504,42.110693
2.509236,45.513640
2.567967,49.039979
2.626698,52.688279
2.685429,56.457405
2.744160,60.346457
2.802892,64.354498
2.906007,71.676459
3.009123,79.357353
3.112239,87.393753
3.192751,93.915072
3.273264,100.652714
3.353776,107.606549
3.439694,115.265589
3.507309,121.465937
3.574923,127.818543
3.642538,134.323344
3.698709,139.842941
3.754880,145.467509
3.811052,151.197134
3.867223,157.032031
3.923394,162.972507
3.979565,169.018900
4.035737,175.171553
4.099930,182.333376
4.164123,189.634723
4.228316,197.075739
4.292509,204.656495
4.356702,212.377026
4.420895,220.237353
4.472798,226.695083
4.524702,233.244217
4.576606,239.884759
4.628509,246.616709
4.703146,256.457418
4.777783,266.487103
4.839498,274.923147
4.901213,283.488501
4.962929,292.183085
5.024644,301.006651
5.086359,309.958869
5.157715,320.469511
5.216741,329.293452
5.275766,338.234413
5.334792,347.292021
5.393818,356.465769
5.452844,365.755137
5.511870,375.159659
5.570895,384.678904
5.629921,394.312430
5.704292,406.612378
5.778663,419.092064
5.853034,431.750479
5.927404,444.586586
6.001775,457.599339
6.076146,470.787695
6.169643,487.615325
6.263140,504.716767
6.356637,522.089958
6.430281,535.964023
6.503924,550.004396
6.577568,564.210058
6.651211,578.580015
6.724855,593.113315
6.798499,607.809106
6.872142,622.666584
6.945786,637.684901
7.019429,652.863140
7.100509,669.757993
7.181590,686.844438
7.262670,704.121321
7.343750,721.587469
7.424830,739.241667
7.505911,757.082707
7.609968,780.251399
7.688122,797.852303
7.766277,815.622944
7.844432,833.562037
7.922587,851.668303
8.000741,869.940484
8.078896,888.377331
8.165397,908.973417
8.251897,929.767927
8.338398,950.759086
8.424898,971.945114
8.511398,993.324203
8.597899,1014.894527
8.684399,1036.654211
8.770900,1058.601358
8.857400,1080.734071
8.943901,1103.050427
9.030401,1125.548452
